年份,排名(Rank),公司名称(Company),所在国家或地区(Country),所在行业(Industry),销售收入(Sales),利润(Profits),总资产(Assets),市值(Market Vaue)
2007,1,Citigroup /花旗集团,美国(US),银行,146.56,21.54,"1,884.32",247.42
2007,2,Bank of America /美国银行,美国(US),银行,116.57,21.13,"1,459.74",226.61
2007,3,HSBC Holdings/汇丰集团,英国(UK),银行,121.51,16.63,"1,860.76",202.29
2007,4,General Electric /通用电气,美国(US),多元化,163.39,20.83,697.24,358.98
2007,5,JPMorgan Chase /JP摩根大通,美国(US),银行,99.30,14.44,"1,351.52",170.97
2007,6,American Intl Group /美国国际集团,美国(US),保险,113.19,14.01,979.41,174.47
2007,7,ExxonMobil /埃克森美孚,美国(US),炼油,335.09,39.50,223.95,410.65
2007,8,Royal Dutch Shell /皇家荷兰壳牌集团,荷兰(NL),炼油,318.85,25.44,232.31,208.25
2007,9,UBS /瑞士银行,瑞士(SZ),综合金融,105.59,9.78,"1,776.89",116.84
2007,10,ING Group /荷兰国际集团,荷兰(NL),保险,153.44,9.65,"1,615.05",93.99
2007,11,BP /英国石油,英国(UK),炼油,265.91,22.29,217.60,198.14
2007,12,Toyota Motor /丰田汽车,日本(JA),耐用消费品,179.02,11.68,243.60,217.69
2007,13,Royal Bank of Scotland /苏格兰皇家银行,英国(UK),银行,77.41,12.51,"1,705.35",124.13
2007,14,BNP Paribas /法国巴黎银行,法国(FR),银行,89.16,9.64,"1,898.19",97.03
2007,15,Allianz /安联,德国(GE),保险,125.33,8.81,"1,380.88",87.22
2007,16,Berkshire Hathaway /伯克夏·哈萨威,美国(US),综合金融,98.54,11.02,248.44,163.79
2007,17,Wal-Mart Stores /沃尔玛,美国(US),零售,348.65,11.29,151.19,201.36
2007,18,Barclays /巴克莱,英国(UK),银行,67.71,8.95,"1,949.17",94.79
2007,19,Chevron /雪佛龙,美国(US),炼油,195.34,17.14,132.63,149.37
2007,19,Total /道达尔菲纳埃尔夫,法国(FR),炼油,175.05,15.53,138.82,152.62
2007,21,HBOS /苏格兰哈里法克斯银行,英国(UK),银行,84.28,7.59,"1,156.61",79.83
2007,22,ConocoPhillips /大陆菲利普斯,美国(US),炼油,167.58,15.55,164.78,107.39
2007,23,AXA Group /安盛保险集团,法国(FR),保险,98.85,6.38,666.47,87.64
2007,24,Société Générale Group /法国兴业银行,法国(FR),银行,84.47,6.55,"1,259.32",77.62
2007,25,Goldman Sachs Group /高盛集团,美国(US),综合金融,69.35,9.54,838.20,83.31
2007,25,Morgan Stanley /摩根士丹利,美国(US),综合金融,76.55,7.47,"1,120.65",79.76
2007,27,Banco Santander /桑坦德银行,西班牙(SP),银行,62.34,7.37,945.86,115.75
2007,27,Deutsche Bank  /德意志银行,德国(GE),综合金融,95.50,7.45,"1,485.58",65.15
2007,29,AT&T /美国电话电报公司,美国(US),电信运营商,63.06,7.36,270.63,229.78
2007,30,Electricité de France /法国电力公司,法国(FR),公用事业,77.75,7.39,233.40,133.37
2007,31,Credit Suisse Group /瑞士信贷集团,瑞士(SZ),综合金融,65.64,9.05,"1,029.22",74.55
2007,32,Merrill Lynch /美林,美国(US),综合金融,68.62,7.50,841.30,73.78
2007,33,Procter & Gamble /宝洁,美国(US),家庭和个人的产品,73.60,9.67,137.30,200.34
2007,34,Wells Fargo /美国富国银行集团,美国(US),银行,47.98,8.48,482.00,117.19
